message_type,sent_count,open_rate,response_rate,opt_out_count,date_sent
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
,0.0,0.0,0.0,0.0,
